"","Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
"1",2019,"CALIFORNIA","TAME","ACRES HARVESTED"," ",""," ","","35,400"
"2",2019,"CALIFORNIA","TAME","ACRES PLANTED"," ",""," ","","36,000"
"3",2019,"CALIFORNIA","TAME","PRODUCTION"," ","MEASURED IN $"," ","","2,221,320,000"
"4",2019,"CALIFORNIA","TAME","PRODUCTION"," ","MEASURED IN CWT"," ","","20,500,000"
"5",2019,"CALIFORNIA","TAME","YIELD"," ","MEASURED IN CWT / ACRE"," ","","580"
"6",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(AZOXYSTROBIN = 128810)","FUNGICIDE","5,500"
"7",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","FUNGICIDE","(NA)"
"8",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","FUNGICIDE","(NA)"
"9",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BACILLUS PUMILUS = 6485)","FUNGICIDE","(NA)"
"10",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BACILLUS SUBT. GB03 = 129068)","FUNGICIDE","(NA)"
"11",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
"12",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BLAD = 30006)","FUNGICIDE","1,200"
"13",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","300"
"14",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BOSCALID = 128008)","FUNGICIDE","6,200"
"15",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT SUBSP KURSTAKI EVB-113-19 = 6544)","FUNGICIDE","(NA)"
"16",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CAPTAN = 81301)","FUNGICIDE","283,500"
"17",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(COPPER HYDROXIDE = 23401)","FUNGICIDE","(D)"
"18",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(COPPER OCTANOATE = 23306)","FUNGICIDE","(D)"
"19",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYFLUFENAMID = 555550)","FUNGICIDE","400"
"20",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYPRODINIL = 288202)","FUNGICIDE","16,600"
"21",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(DIFENOCONAZOLE = 128847)","FUNGICIDE","900"
"22",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FENHEXAMID = 90209)","FUNGICIDE","15,000"
"23",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUDIOXONIL = 71503)","FUNGICIDE","11,100"
"24",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUOPYRAM = 80302)","FUNGICIDE","3,900"
"25",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUXAPYROXAD = 138009)","FUNGICIDE","3,900"
"26",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FOSETYL-AL = 123301)","FUNGICIDE","34,200"
"27",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ISOFETAMID = 270000)","FUNGICIDE","(D)"
"28",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(MEFENOXAM = 113502)","FUNGICIDE","9,300"
"29",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(MONO-POTASSIUM SALT = 76416)","FUNGICIDE","(D)"
"30",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(MYCLOBUTANIL = 128857)","FUNGICIDE","5,600"
"31",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PENTHIOPYRAD = 90112)","FUNGICIDE","7,000"
"32",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","1,400"
"33",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","11,300"
"34",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PROPICONAZOLE = 122101)","FUNGICIDE","1,600"
